UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,temperature_gap [K],power_proxy,failure_mode,air_temperature_k_z,process_temperature_k_z,rotational_speed_rpm_z,torque_nm_z,tool_wear_min_z,temperature_gap_k_z,power_proxy_z,Type_H,Type_L,Type_M
1,M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,10.5,66382.79999999999,None,-0.9523894433829583,-0.9473598877173782,0.06818514034143008,0.28219975602413067,-1.6959837443286896,0.4988493226094761,0.6294432133840252,0,0,1
2,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,10.5,65190.399999999994,None,-0.9023934097553371,-0.8799590021118496,-0.7294715051501508,0.6333080199205777,-1.648851700781283,0.4988493226094761,0.512456198606482,0,1,0
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,10.5,61385.4,None,-0.9523894433829583,-0.9473598877173782,-0.06568730365715691,0.021376474272484798,-1.4446128454091887,0.4988493226094761,0.13914557194717866,0,1,0
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,10.5,68422.90000000001,None,-0.7024092752447672,-0.61035545968962,-1.1143547816460884,1.1148279246928485,-1.1618205841247502,0.4988493226094761,0.8295985378117923,0,0,1
30,L47209,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,10.399999999999977,50959.3,None,-0.5024251407342256,-0.4081528028729957,0.8602637673330699,-0.991821658685834,-0.37628652500131016,0.3989535894637948,-0.8837647893176227,0,1,0
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,10.300000000000011,54097.3,None,-0.6024172079894964,-0.61035545968962,0.11280928834095907,-0.530365083279075,-0.20346903199415334,0.2990578563181703,-0.5758938966876894,0,0,1
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,10.300000000000011,58022.700000000004,None,-0.5524211743618752,-0.5429545740840913,0.23552569533966383,-0.32973178962396227,-0.10920494489934053,0.2990578563181703,-0.19077076031753634,0,0,1
38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,10.300000000000011,56408.8,None,-0.6024172079894964,-0.61035545968962,-0.556552931651976,-0.07894017255507152,-0.062072901351934134,0.2990578563181703,-0.34911137013762866,0,1,0
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,10.300000000000011,69915.3,None,-0.5524211743618752,-0.5429545740840913,-0.8912340416484434,1.074701265961826,-0.03065153898699653,0.2990578563181703,0.9760187163206867,1,0,0
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,10.300000000000011,61834.799999999996,None,-0.6024172079894964,-0.61035545968962,-0.9860603561474425,0.5430230377757772,0.07932322929028508,0.2990578563181703,0.18323645121674215,0,1,0
46,L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,10.300000000000011,73109.90000000001,None,-0.6024172079894964,-0.61035545968962,-0.2776520066549197,0.9141946310377358,0.3149834470273171,0.2990578563181703,1.2894426658412688,0,1,0
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,10.399999999999977,76807.5,None,-0.6024172079894964,-0.5429545740840913,-0.6346451906511517,1.3957145358100058,0.4249582153045987,0.3989535894637948,1.6522162198847483,1,0,0
59,M14918,M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,10.199999999999989,48999.5,None,-0.6024172079894964,-0.677756345295187,0.6817671753349538,-1.0520116467823681,0.8491466072312563,0.19916212317248896,-1.0760418369199631,0,0,1
62,M14921,M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,10.199999999999989,60814.4,None,-0.6024172079894964,-0.677756345295187,0.2968838988390162,-0.17925681938262783,0.9591213755085379,0.19916212317248896,0.08312445031184026,0,0,1
64,M14923,M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,10.100000000000023,46930.799999999996,None,-0.5524211743618752,-0.677756345295187,1.5240479688260637,-1.4131515753615709,1.037674781420882,0.09926639002686442,-1.2790031229567842,0,0,1
69,L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,10.099999999999966,49474.799999999996,None,-0.6024172079894964,-0.7451572309007539,-0.06568730365715691,-0.7610933709824549,1.273334999157914,0.09926639002680764,-1.0294098945149261,0,1,0
71,M14930,M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,10.100000000000023,43482.4,None,-0.5524211743618752,-0.677756345295187,2.14878604081947,-1.7441965098925065,1.3361777238877892,0.09926639002686442,-1.617327528994088,0,0,1
